refid,year,pubmedid,pubmedcentralid,doi,uri
rid.13518,2012,22933767,PMC3430342,10.1128/JB.01071-12,
rid.13517,2012,22965092,PMC3457186,10.1128/JB.01193-12,
rid.13519,2012,22933753,PMC3430359,10.1128/JB.01017-12,
rid.13522,2012,22933754,PMC3430310,10.1128/JB.01039-12,
rid.13605,2012,22199215,,10.1099/ijs.0.038000-0,
rid.13627,2011,,,,
rid.13628,2012,,,,
rid.13643,2012,22247212,,10.1099/ijs.0.038687-0,
rid.13672,2012,23114572,,10.1007/s10482-012-9829-5,
rid.13686,2012,,,10.1007/s10482-012-9776-1,
rid.13703,2011,21461999,,10.1007/s00792-011-0369-0,
rid.13761,2013,,,10.1099/ijs.0.X00003-0,
rid.13754,2013,22427449,,10.1099/ijs.0.038968-0,
rid.13839,2013,,,10.1099/ijs.0.X00004-0,
rid.13875,2013,22685105,,10.1099/ijs.0.042887-0,
rid.13899,2013,,,10.1007/s10482-012-9817-9,
rid.13916,2012,,,,
rid.13914,2012,,,,
rid.13920,2001,,,,
rid.13919,1886,,,,
rid.14031,2013,,,10.1099/ijs.0.X00007-0,
rid.14030,2013,,,10.1099/ijs.0.X00008-0,
rid.14035,2013,23041643,,10.1099/ijs.0.043117-0,
rid.14105,2013,23371034,PMC3621993,10.1007/s10482-013-9887-3,
rid.3121,2001,,,,
rid.14032,2011,21364937,PMC3043068,10.1371/journal.pone.0016626,
rid.14261,2013,23908152,,10.1099/ijs.0.055467-0,
rid.15282,2014,25015677,,10.1099/ijs.0.065938-0,
rid.14260,2012,22110030,PMC3245080,10.1093/nar/gkr1268,http://genome.jgi.doe.gov/
rid.14263,2013,23908154,,10.1099/ijs.0.055459-0,
rid.14262,2013,23908153,,10.1099/ijs.0.055368-0,
rid.3264,1904,,,,
rid.14325,2013,,,10.1099/ijs.0.056390-0,
rid.14319,2013,23543500,,10.1099/ijs.0.050047-0,
rid.14351,2013,23667142,,10.1099/ijs.0.052357-0,
rid.14390,2013,,,10.1099/ijs.0.057323-0,
rid.14396,2012,23408663,PMC3569385,10.4056/sigs.3306717,
rid.14455,2009,,,10.1007/s00284-009-9511-y,
rid.14484,2012,23209253,PMC3510572,10.1128/JB.01930-12,
rid.14477,1900,,,,
rid.14478,1900,,,,
rid.14479,1900,,,,
rid.14480,1900,,,,
rid.14474,1900,,,,
rid.14488,2013,23828176,,10.1007/s10482-013-9960-y,
rid.14505,2013,23811133,,10.1099/ijs.0.050732-0,
rid.14565,2013,,,10.1099/ijs.0.059220-0,
rid.14567,1955,,,,
rid.14563,2005,,,,
rid.14578,2013,23908650,PMC3726837,10.3389/fmicb.2013.00217,
rid.14545,2013,23832969,,10.1099/ijs.0.051490-0,
rid.14580,2013,24000092,,10.1007/s10482-013-0005-3,
rid.14508,2013,23728370,,10.1099/ijs.0.052092-0,
rid.14637,2013,23907224,,10.1099/ijs.0.052183-0,
rid.14391,2013,,,10.1099/ijs.0.058057-0,
rid.1285,1986,,,,
rid.14678,2013,23825681,PMC3692447,10.1371/journal.pone.0067741,
rid.14674,2013,,,10.3389/fmicb.2013.00322,
rid.14675,2013,24006188,,10.1007/s10482-013-0022-2,
rid.2972,1992,,,,
rid.14790,2014,24071478,,10.1099/ijs.0.055129-0,
rid.14818,2014,24496755,,10.1007/s10482-014-0117-4,
rid.14839,2014,24243968,,10.1099/ijs.0.055640-0,
rid.14866,2014,24425817,,10.1099/ijs.0.057984-0,
rid.14890,2014,,,10.1099/ijs.0.062729-0,
rid.14892,2013,,,,
rid.14891,2014,,,10.1099/ijs.0.062836-0,
rid.14901,2014,24535740,,10.1007/s12275-014-3278-y,
rid.14965,2014,24581117,PMC4028982,10.1186/1471-2164-15-169,
rid.14956,1991,,,10.1099/00207713-41-4-581,
rid.14955,2014,,,10.1099/ijs.0.062802-0,
rid.7867,1977,,,10.1099/00207713-27-3-306,
rid.5697,1979,,,10.1099/00207713-29-4-436,
rid.15040,2014,24647674,PMC3960232,10.1371/journal.pone.0092294,
rid.15028,2014,24480907,,10.1099/ijs.0.052373-0,
rid.15060,2014,24566829,,10.1099/ijs.0.060772-0,
rid.15093,2014,,,10.1007/s00792-014-0631-3,
rid.15110,2009,19783606,,10.1099/ijs.0.002139-0,
rid.14745,2014,24402791,,10.1007/s10482-013-0111-2,
rid.15103,2012,22518872,PMC3405600,10.1128/JCM.00128-12,
rid.14805,2013,24376881,PMC3869905,10.1371/journal.pone.0085493,
rid.15164,2014,,,10.1099/ijs.0.066993-0,
rid.15189,2014,24854007,,10.1099/ijs.0.055426-0,
rid.15355,2014,,,10.4056/sigs.5459590,
rid.15370,2014,25157246,PMC4127530,10.3389/fmicb.2014.00416,
rid.15395,2014,24849894,,10.1007/s10482-014-0192-6,
rid.15425,2014,,,10.1007/s10482-013-0091-2,
rid.15426,2014,,,10.1007/s10482-013-0092-1,
rid.15486,2014,25198502,PMC4157798,10.1371/journal.pone.0106514,
rid.15483,2014,,,10.1099/ijs.0.068650-0,
rid.15487,2014,25114928,PMC4119925,10.1155/2014/914767,
rid.15481,2014,,,10.1099/ijs.0.068635-0,
rid.15482,2014,,,10.1099/ijs.0.068643-0,
rid.15520,2014,25256707,,10.1099/ijs.0.065771-0,
rid.15497,2014,25237147,,10.1099/ijs.0.065870-0,
rid.15547,2004,15545494,,10.1099/ijs.0.63106-0,
rid.15554,2007,17473276,,10.1099/ijs.0.64954-0,
rid.15528,2015,25269849,,10.1099/ijs.0.064774-0,
rid.15485,2014,25024905,PMC4081156,10.7717/peerj.427,
rid.15606,2014,,,,
rid.15593,2013,24409173,PMC3873509,10.3389/fmicb.2013.00414,
rid.15860,2014,24984141,PMC4077839,10.1371/journal.pone.0101343,
rid.15586,2015,25313092,,10.1099/ijs.0.064139-0,
rid.15649,2015,25487949,,10.1016/j.syapm.2014.10.004,
rid.15674,2014,25404483,,10.1099/ijs.0.070151-0,
rid.15693,2014,,,10.1099/ijs.0.070920-0,
rid.15684,2015,25410940,,10.1099/ijs.0.069260-0,
rid.15725,2014,25780501,PMC4334108,10.1186/1944-3277-9-8,
rid.15492,2014,25225261,,10.1099/ijs.0.065847-0,
rid.15726,2014,,,10.1186/1944-3277-9-9,
rid.15608,2014,25133584,PMC4136832,10.1371/journal.pone.0104959,
rid.12654,2011,21742858,,10.1099/ijs.0.024901-0,
rid.14411,2010,,,10.4056/sigs.881234,
rid.14353,2013,23584284,,10.1099/ijs.0.051854-0,
rid.13002,2012,,,10.1099/ijs.0.68002-0,
rid.16791,2015,26303322,,10.1099/ijsem.0.000549,
rid.16792,2015,26303040,,10.1099/ijsem.0.000545,
rid.16793,2015,26303844,,10.1099/ijsem.0.000555,
rid.16794,2015,26303941,,10.1099/ijsem.0.000558,
rid.16795,2015,26303567,,10.1099/ijsem.0.000551,
rid.15761,2014,,,10.1186/1944-3277-9-30,
rid.12456,2011,20435744,,10.1099/ijs.0.022954-0,
rid.15760,2014,25584140,PMC4286143,10.1186/1944-3277-9-34,
rid.15796,2015,25563923,,10.1099/ijs.0.000056,
rid.15787,2015,25510729,,10.1007/s10482-014-0354-6,
rid.15824,2015,25424909,,10.1007/s10482-014-0339-5,
rid.15875,2015,25644482,,10.1099/ijs.0.000102,
rid.16159,2015,25908713,,10.1099/ijs.0.000282,
rid.15859,2014,25406895,PMC4219481,10.3389/fmicb.2014.00583,
rid.15838,2015,25193716,,10.1007/s00203-014-1032-9,
rid.15837,2015,25602083,,10.1099/ijs.0.066118-0,
rid.15877,2015,25644483,,10.1099/ijs.0.000100,
rid.15876,2015,25644481,,10.1099/ijs.0.000101,
rid.16412,2011,21960015,,10.1007/s00284-011-0015-1,
rid.15922,2015,25701844,,10.1099/ijs.0.000127,
rid.15929,2015,,,10.1016/j.syapm.2014.11.001,
rid.15915,2015,,,10.1186/1944-3277-10-7,
rid.15963,2015,25721722,,10.1099/ijs.0.000150,
rid.15968,2015,25724747,,10.1099/ijs.0.000157,
rid.15973,2015,25736415,,10.1099/ijs.0.000162,
rid.16001,2015,25744584,,10.1099/ijs.0.000176,
rid.15974,2015,25736414,,10.1099/ijs.0.000163,
rid.15975,2015,25736413,,10.1099/ijs.0.000165,
rid.15976,2015,25736412,,10.1099/ijs.0.000166,
rid.15991,2015,25613851,,10.1007/s10482-015-0385-7,
rid.16010,2014,25467116,,10.1007/s12275-014-4587-x,
rid.16011,2014,25079955,,10.1007/s12275-014-4220-z,
rid.16015,2013,24349386,PMC3857808,10.1371/journal.pone.0082889,
rid.15982,2015,25744581,,10.1099/ijs.0.000173,
rid.16017,2015,25487950,,10.1016/j.syapm.2014.11.002,
rid.15981,2015,25744582,,10.1099/ijs.0.000172,
rid.15979,2015,25740932,,10.1099/ijs.0.000170,
rid.15980,2015,25740931,,10.1099/ijs.0.000168,
rid.16068,2015,25825244,,10.1099/ijs.0.000216,
rid.13918,2012,,,,
rid.15927,2014,,,10.1007/s00203-014-1041-8,
rid.15977,2015,25736411,,10.1099/ijs.0.000164,
rid.16049,2015,25795067,,10.1099/ijs.0.000199,
rid.16000,2015,25744585,,10.1099/ijs.0.000177,
rid.16002,2015,25744583,,10.1099/ijs.0.000174,
rid.15999,2015,25744586,,10.1099/ijs.0.000175,
rid.4307,1947,,,,
rid.16047,2015,25792368,,10.1099/ijs.0.000196,
rid.16041,2015,25479956,,10.1099/ijs.0.000004,
rid.16046,2015,25792369,,10.1099/ijs.0.000197,
rid.16053,2015,25805631,,10.1099/ijs.0.000206,
rid.16009,2015,25557476,,10.1007/s12275-015-4462-4,
rid.16050,2015,25795066,,10.1099/ijs.0.000202,
rid.16005,2015,25747424,,10.1099/ijs.0.000180,
rid.16004,2015,25747425,,10.1099/ijs.0.000181,
rid.16008,2015,25754549,,10.1099/ijs.0.000182,
rid.16007,2015,25754550,,10.1099/ijs.0.000184,
rid.16006,2015,25754551,,10.1099/ijs.0.000183,
rid.16038,2015,25766109,,10.1099/ijs.0.000187,
rid.16044,2015,25792366,,10.1099/ijs.0.000193,
rid.16043,2015,25792367,,10.1099/ijs.0.000195,
rid.16037,2015,25766110,,10.1099/ijs.0.000188,
rid.16045,2015,25792364,,10.1099/ijs.0.000192,
rid.17039,2016,26739022,,10.1099/ijsem.0.000875,
rid.17227,2015,26428917,,10.1007/s12275-015-5132-2,
rid.16052,2015,25795064,,10.1099/ijs.0.000198,
rid.16062,2015,25813364,,10.1099/ijs.0.000213,
rid.16688,2015,25908707,,10.1099/ijs.0.000271,
rid.16061,2015,25807976,,10.1099/ijs.0.000207,
rid.16065,2015,25825247,,10.1099/ijs.0.000217,
rid.17040,2016,26739306,,10.1099/ijsem.0.000878,
rid.16051,2015,25795065,,10.1099/ijs.0.000201,
rid.16048,2015,25795068,,10.1099/ijs.0.000200,
rid.16036,2015,25762725,,10.1099/ijs.0.000186,
rid.16167,2015,25911535,,10.1099/ijs.0.000283,
rid.16064,2015,25816810,,10.1099/ijs.0.000205,
rid.16058,2015,25807979,,10.1099/ijs.0.000204,
rid.16060,2015,25807977,,10.1099/ijs.0.000209,
rid.16106,2015,25858245,,10.1099/ijs.0.000238,
rid.16073,2015,25829329,,10.1099/ijs.0.000219,
rid.16100,2015,25795443,,10.1007/s10482-015-0430-6,
rid.16113,2015,,,10.1186/1944-3277-10-17,
rid.16130,2015,25870255,,10.1099/ijs.0.000261,
rid.16124,2015,25866024,,10.1099/ijs.0.000250,
rid.16116,2015,25914684,PMC4391266,10.3389/fmicb.2015.00281,
rid.16115,2015,25680238,,10.1016/j.anaerobe.2015.02.002,
rid.16135,2015,25872957,,10.1099/ijs.0.000263,
rid.16136,2015,25872956,,10.1099/ijs.0.000264,
rid.16133,2015,25872959,,10.1099/ijs.0.000265,
rid.16138,2015,25878202,,10.1099/ijs.0.000266,
rid.16162,2015,25908709,,10.1099/ijs.0.000278,
rid.16151,2014,25566316,PMC4271702,10.3389/fgene.2014.00429,
rid.16169,2012,,,,
rid.16170,2012,,,,
rid.16172,2012,,,,
rid.16188,2015,25953592,,10.1099/ijs.0.000171,
rid.16174,2012,,,,
rid.16175,2012,,,,
rid.16177,2012,,,,
rid.16178,2012,,,,
rid.16179,2012,,,,
rid.16180,2012,,,,
rid.16176,2012,,,,
rid.16157,2015,25899504,,10.1099/ijs.0.000277,
rid.16181,2015,25920722,,10.1099/ijs.0.000287,
rid.5490,1910,,,,
rid.16164,2015,25908706,,10.1099/ijs.0.000269,
rid.16163,2015,25908708,,10.1099/ijs.0.000275,
rid.16209,2015,,,10.1186/s40793-015-0003-3,
rid.16183,2015,25920725,,10.1099/ijs.0.000290,
rid.16190,2015,25944807,,10.1099/ijs.0.000296,
rid.16191,2015,25944806,,10.1099/ijs.0.000297,
rid.16192,2015,25944805,,10.1099/ijs.0.000295,
rid.16220,2015,25969475,,10.1099/ijs.0.000325,
rid.16219,2015,25964514,,10.1099/ijs.0.000322,
rid.16218,2015,25964515,,10.1099/ijs.0.000320,
rid.16223,2015,25969476,,10.1099/ijs.0.000326,
rid.16222,2015,25969473,,10.1099/ijs.0.000323,
rid.16221,2015,25969474,,10.1099/ijs.0.000324,
rid.16242,2015,25977281,,10.1099/ijs.0.000329,
rid.16252,2014,,,10.1007/s10482-014-0198-0,
rid.16257,2014,,,10.1007/s10482-013-0110-3,
rid.16258,2014,,,10.1007/s10482-014-0150-3,
rid.16260,2014,,,10.1007/s10482-014-0137-0,
rid.16263,2013,,,10.1007/s10482-013-0059-2,
rid.16267,2013,,,10.1007/s10482-013-0044-9,
rid.16275,2015,25977283,,10.1099/ijs.0.000335,
rid.16272,2014,,,10.1007/s10482-014-0116-5,
rid.16243,2015,25977280,,10.1099/ijs.0.000318,
rid.16273,2015,25977285,,10.1099/ijs.0.000336,
rid.15723,2014,25780503,PMC4334474,10.1186/1944-3277-9-10,
rid.16189,2015,25953593,,10.1099/ijs.0.000208,
rid.16329,2012,22012251,,10.1007/s10482-011-9654-2,
rid.16241,2015,25977282,,10.1099/ijs.0.000328,
rid.16217,2015,25964516,,10.1099/ijs.0.000321,
rid.16367,2015,25702315,,10.1007/s00203-015-1092-5,
rid.16369,2015,25787010,,10.1007/s00203-015-1103-6,
rid.16379,2014,,,10.1007/s00284-014-0637-1,
rid.16373,2014,24962598,,10.1007/s00284-014-0638-0,
rid.16390,2013,23907492,,10.1007/s00284-013-0429-z,
rid.16387,2014,24343174,,10.1007/s00284-013-0501-8,
rid.16368,2015,25763990,,10.1007/s00203-015-1102-7,
rid.16388,2014,24158461,,10.1007/s00284-013-0481-8,
rid.16389,2013,23896693,,10.1007/s00284-013-0426-2,
rid.16401,2013,23306353,,10.1007/s00284-012-0300-7,
rid.16376,2014,24748440,,10.1007/s00284-014-0584-x,
rid.16381,2014,24633861,,10.1007/s00284-014-0560-5,
rid.16380,2014,24633862,,10.1007/s00284-014-0561-4,
rid.16378,2014,24682260,,10.1007/s00284-014-0565-0,
rid.16415,2011,21445548,,10.1007/s00284-011-9925-1,
rid.16375,2014,24894905,,10.1007/s00284-014-0616-6,
rid.16374,2014,24842302,,10.1007/s00284-014-0598-4,
rid.16399,2013,23299946,,10.1007/s00284-012-0299-9,
rid.16398,2013,,,10.1007/s00284-013-0337-2,
rid.16397,2013,23377489,,10.1007/s00284-013-0314-9,
rid.16400,2013,23314843,,10.1007/s00284-013-0305-x,
rid.16402,2011,22393766,,10.1134/S0026261711060130,
rid.16405,2013,23129345,,10.1007/s00284-012-0253-x,
rid.16409,2012,22847226,,10.1007/s00284-012-0192-6,
rid.16418,2007,17882507,,10.1007/s00284-007-0275-y,
rid.16420,2006,17066332,,10.1007/s00284-006-0320-2,
rid.16410,2012,22349954,,10.1007/s00284-012-0089-4,
rid.16411,2012,22278760,,10.1007/s00284-012-0081-z,
rid.16413,2011,21861148,,10.1007/s00284-011-9994-1,
rid.16416,2011,21431834,,10.1007/s00284-011-9921-5,
rid.16417,2011,20936472,,10.1007/s00284-010-9768-1,
rid.16421,2004,15057486,,10.1007/s00284-003-4155-9,
rid.16426,2015,,,10.1186/s40793-015-0010-4,
rid.16422,2003,14669920,,10.1007/s00284-003-4006-8,
rid.16419,2006,17066338,,10.1007/s00284-006-0151-1,
rid.16408,2013,,,10.1007/s00284-012-0294-1,
rid.16407,2013,23241657,,10.1007/s00284-012-0287-0,
rid.5452,1974,,,,
rid.16427,2015,25269462,,10.1038/ja.2014.137,
rid.16406,2013,23117446,,10.1007/s00284-012-0259-4,
rid.16487,2015,26297013,,10.1099/ijsem.0.000406,
rid.16431,2015,25896308,,10.1007/s10482-015-0460-0,
rid.16182,2015,25920724,,10.1099/ijs.0.000289,
rid.16152,2015,25896353,,10.1099/ijs.0.000267,
rid.15978,2015,25740933,,10.1099/ijs.0.000167,
rid.16446,2015,25972252,,10.1007/s10482-015-0474-7,
rid.2050,1910,,,,
rid.16464,2015,26296874,,10.1099/ijsem.0.000404,
rid.16461,2015,26296662,,10.1099/ijsem.0.000401,
rid.16459,2015,26296567,,10.1099/ijsem.0.000400,
rid.16484,2015,26198108,,10.1099/ijsem.0.000403,
rid.6552,1924,,,,
rid.16477,2015,26296998,,10.1099/ijsem.0.000405,
rid.96,1926,,,,
rid.16467,2015,26297041,,10.1099/ijsem.0.000392,
rid.16494,2015,26296342,,10.1099/ijsem.0.000414,
rid.16489,2015,26297147,,10.1099/ijsem.0.000421,
rid.16488,2015,26297491,,10.1099/ijsem.0.000411,
rid.16495,2015,26296776,,10.1099/ijsem.0.000417,
rid.16490,2015,26115990,,10.1007/s12275-015-5008-5,
rid.16491,2015,26115991,,10.1007/s12275-015-5087-3,
rid.16492,2015,26115992,,10.1007/s12275-015-5241-y,
rid.16504,2015,26297006,,10.1099/ijsem.0.000419,
rid.16003,2015,25747423,,10.1099/ijs.0.000179,
rid.16486,2015,26296764,,10.1099/ijsem.0.000402,
rid.16481,2015,26297036,,10.1099/ijsem.0.000407,
rid.16501,2015,26297032,,10.1099/ijsem.0.000420,
rid.16499,2015,26296577,,10.1099/ijsem.0.000415,
rid.16498,2015,26297578,,10.1099/ijsem.0.000412,
rid.16497,2015,26297353,,10.1099/ijsem.0.000423,
rid.16496,2015,26297233,,10.1099/ijsem.0.000409,
rid.16556,2015,26297220,,10.1099/ijsem.0.000435,
rid.16537,2013,,,10.1007/s12275-013-0728-x,
rid.16538,2012,,,10.1007/s12275-012-0641-8,
rid.16553,2015,26297579,,10.1099/ijsem.0.000425,
rid.16554,2015,26296780,,10.1099/ijsem.0.000430,
rid.16552,2015,26296580,,10.1099/ijsem.0.000428,
rid.16551,2015,26296343,,10.1099/ijsem.0.000440,
rid.16550,2015,26297337,,10.1099/ijsem.0.000436,
rid.16557,2015,26297493,,10.1099/ijsem.0.000424,
rid.16555,2015,26297482,,10.1099/ijsem.0.000437,
rid.16566,2015,26297131,,10.1099/ijsem.0.000447,
rid.16565,2015,26296574,,10.1099/ijsem.0.000454,
rid.16564,2015,26297478,,10.1099/ijsem.0.000450,
rid.16563,2015,26296768,,10.1099/ijsem.0.000456,
rid.16562,2015,26297134,,10.1099/ijsem.0.000434,
rid.16561,2015,26297659,,10.1099/ijsem.0.000439,
rid.16559,2015,26297007,,10.1099/ijsem.0.000432,
rid.16560,2015,26296675,,10.1099/ijsem.0.000429,
rid.16558,2015,26296925,,10.1099/ijsem.0.000431,
rid.16574,2015,26296341,,10.1099/ijsem.0.000453,
rid.16584,2015,26021481,,10.1007/s10482-015-0488-1,
rid.16054,2015,25805630,,10.1099/ijs.0.000203,
rid.16059,2015,25807978,,10.1099/ijs.0.000210,
rid.16595,2015,10.1007/s10482-015-0507-2,,10.1007/s10482-015-0507-2,
rid.16596,2015,25925590,,10.1007/s00203-015-1114-3,
rid.14588,2013,,,10.1007/s12275-013-0724-1,
rid.16597,2015,25921298,,10.1007/s00284-015-0820-z,
rid.16598,2015,26032555,,10.1007/s00284-015-0849-z,
rid.16605,2015,,,10.1016/j.syapm.2015.06.002,
rid.357,1906,,,,
rid.366,1894,,,,
rid.16629,2015,26219279,,10.1099/ijsem.0.000482,
rid.16608,2015,26297573,,10.1099/ijsem.0.000438,
rid.16619,2015,26198254,,10.1099/ijsem.0.000466,
rid.16607,2015,26184667,,10.1099/ijs.0.000308,
rid.16630,2015,26220886,,10.1099/ijsem.0.000481,
rid.16631,2015,26219545,,10.1099/ijsem.0.000483,
rid.5053,1886,,,,
rid.16632,1989,,,,
rid.16680,2015,26956594,,10.1099/ijsem.0.000495,
rid.16679,2015,26233517,,10.1099/ijsem.0.000490,
rid.16677,2015,26228269,,10.1099/ijsem.0.000486,
rid.16678,2015,26227993,,10.1099/ijsem.0.000485,
rid.16676,2015,26228463,,10.1099/ijsem.0.000487,
rid.16675,2015,26228570,,10.1099/ijsem.0.000488,
rid.16690,2015,26071003,,10.1007/s10482-015-0505-4,
rid.16684,2015,26233482,,10.1099/ijsem.0.000489,
rid.16683,2015,26232950,,10.1099/ijsem.0.000478,
rid.16681,2015,26233516,,10.1099/ijsem.0.000498,
rid.16685,2015,26296875,,10.1099/ijsem.0.000444,
rid.16682,2015,26233719,,10.1099/ijsem.0.000494,
rid.16693,1957,,,,
rid.16714,2015,26238600,,10.1099/ijsem.0.000504,
rid.16710,2015,26232951,,10.1099/ijsem.0.000496,
rid.16711,2015,26233475,,10.1099/ijsem.0.000497,
rid.16712,2015,26233652,,10.1099/ijsem.0.000493,
rid.16748,2015,26203343,PMC4511653,10.1186/s40793-015-0009-x,
rid.16706,1934,,,,
rid.16713,2015,26238346,,10.1099/ijsem.0.000500,
rid.16723,2015,26243211,,10.1099/ijsem.0.000507,
rid.16730,2015,26198468,,10.1007/s10482-015-0535-y,
rid.16716,2015,26238453,,10.1099/ijsem.0.000501,
rid.16715,2015,26238517,,10.1099/ijsem.0.000503,
rid.16758,2015,26221418,,10.1186/s40793-015-0027-8,
rid.16756,2015,26380635,,10.1186/s40793-015-0024-y,
rid.16729,2015,26245775,,10.1099/ijsem.0.000511,
rid.5649,1974,,,,
rid.16727,2015,26245940,,10.1099/ijsem.0.000512,
rid.16759,2015,,,10.1186/s40793-015-0015-z,
rid.16760,2015,,,10.1186/s40793-015-0052-7,
rid.16761,2015,26007155,,10.1007/s00203-015-1123-2,
rid.16762,2015,26047607,,10.1007/s00203-015-1124-1,
rid.16763,2015,26123238,,10.1007/s00203-015-1129-9,
rid.16764,2015,26118784,,10.1007/s00203-015-1128-x,
rid.16807,2015,26311687,,10.1099/ijsem.0.000564,
rid.16813,2015,26310302,,10.1007/s12275-015-5136-y,
rid.16728,2015,26246055,,10.1099/ijsem.0.000513,
rid.16812,2015,26310301,,10.1007/s12275-015-4610-x,
rid.16788,2015,26303654,,10.1099/ijsem.0.000553,
rid.16777,2015,26289585,,10.1099/ijsem.0.000537,
rid.16776,2015,26289817,,10.1099/ijsem.0.000539,
rid.16775,2015,26286474,,10.1099/ijsem.0.000532,
rid.16830,2015,26354083,,10.1099/ijsem.0.000552,
rid.16818,2015,26337957,,10.1099/ijsem.0.000571,
rid.16836,2012,,,,
rid.16815,2015,26333923,,10.1099/ijsem.0.000570,
rid.16814,2015,26333922,,10.1099/ijsem.0.000569,
rid.938,1988,3394446,,10.1016/S0176-6724(88)80112-3,
rid.16846,2015,26364192,,10.1099/ijsem.0.000596,
rid.16819,2015,26338019,,10.1099/ijsem.0.000572,
rid.16845,2015,26364048,,10.1099/ijsem.0.000594,
rid.16934,2015,26463829,,10.1099/ijsem.0.000675,
rid.16933,2015,26463703,,10.1099/ijsem.0.000674,
rid.16941,2015,26474559,,10.1099/ijsem.0.000682,
rid.16940,2015,26475791,,10.1099/ijsem.0.000681,
rid.4282,1989,,,,
rid.6095,1929,,,,
rid.16939,2015,26475689,,10.1099/ijsem.0.000680,
rid.16938,2015,26475581,,10.1099/ijsem.0.000679,
rid.16918,2015,26238381,,10.1007/s10482-015-0540-1,
rid.16919,2015,26310805,,10.1007/s10482-015-0564-6,
rid.16920,2015,26194116,,10.1016/j.syapm.2015.06.004,
rid.2515,1974,,,,
rid.16949,2015,26475698,,10.1099/ijsem.0.000691,
rid.16786,2015,26085472,PMC4546703,10.1007/s00792-015-0765-y,
rid.16921,2015,26346480,,10.1007/s10482-015-0579-z,
rid.16912,2015,26449644,,10.1099/ijsem.0.000672,
rid.16935,2016,26475169,,10.1099/ijsem.0.000676,
rid.16911,2015,26449519,,10.1099/ijsem.0.000671,
rid.16910,2015,26449383,,10.1099/ijsem.0.000670,
rid.16914,2015,26163005,,10.1007/s00203-015-1134-z,
rid.16915,2015,26210236,,10.1007/s00203-015-1137-9,
rid.16917,2015,26374244,,10.1007/s00203-015-1149-5,
rid.16927,2015,26286453,,10.1007/s10482-015-0553-9,
rid.1777,2015,,,,
rid.16928,2015,26303283,,10.1007/s10482-015-0573-5,
rid.16926,2015,26346477,,10.1007/s10482-015-0554-8,
rid.16922,2015,26294110,,10.1007/s10482-015-0550-z,
rid.16924,2015,26205207,,10.1007/s10482-015-0543-y,
rid.16925,2015,26242550,,10.1111/1348-0421.12290,
rid.16929,2015,26219565,,10.1007/s10482-015-0544-x,
rid.16956,2015,26498321,,10.1099/ijsem.0.000698,
rid.16955,2015,26486442,,10.1099/ijsem.0.000697,
rid.16954,2015,26476895,,10.1099/ijsem.0.000696,
rid.16923,2015,26267335,,10.1007/s10482-015-0551-y,
rid.3407,1953,,,,
rid.2535,1975,,,,
rid.16930,2015,23865888,PMC3728145,10.1186/1471-2180-13-164,
rid.16969,2015,26508418,,10.1099/ijsem.0.000715,
rid.16974,2015,26518601,,10.1099/ijsem.0.000720,
rid.16972,2015,26514117,,10.1099/ijsem.0.000718,
rid.16996,2013,23342046,PMC3544764,10.1371/journal.pone.0053954,
rid.952,1946,,,,
rid.16973,2015,26514371,,10.1099/ijsem.0.000719,
rid.16971,2015,26510965,,10.1099/ijsem.0.000717,
rid.16975,2016,26514588,,10.1099/ijsem.0.000721,
rid.16970,2015,26510888,,10.1099/ijsem.0.000716,
rid.9762,2008,19014707,PMC2614493,10.1186/gb-2008-9-11-r161,
rid.17001,2009,19114486,PMC2648186,10.1128/JB.01731-08,
rid.17003,2012,22408242,PMC3302458,10.1128/JB.00036-12,
rid.17005,2013,24204251,PMC3814344,10.1371/journal.ppat.1003647,
rid.17002,2014,25341639,PMC4223829,10.1186/1471-2164-15-928,
rid.16998,2014,24482521,PMC3907736,10.1128/genomeA.01256-13,
rid.13962,2013,22798658,,10.1099/ijs.0.043133-0,
rid.10598,2009,,,,
rid.17006,2005,15780005,PMC1069646,10.1371/journal.pbio.0030121,
rid.17016,2011,21742883,PMC3165685,10.1128/JB.05619-11,
rid.17014,2012,23144383,PMC3497533,10.1128/JB.01656-12,
rid.17007,2013,23593012,PMC3616963,10.1371/journal.pgen.1003381,
rid.17015,2013,24051319,PMC3778202,10.1128/genomeA.00739-13,
rid.17020,2016,26769366,,10.1099/ijsem.0.000900,
rid.17021,2016,26763906,,10.1099/ijsem.0.000891,
rid.17025,2016,26763785,,10.1099/ijsem.0.000888,
rid.17019,2016,26769164,,10.1099/ijsem.0.000892,
rid.17022,2016,26763978,,10.1099/ijsem.0.000895,
rid.17023,2016,26763907,,10.1099/ijsem.0.000893,
rid.17018,2016,26769263,,10.1099/ijsem.0.000899,
rid.17024,2016,26763977,,10.1099/ijsem.0.000894,
rid.17102,2011,21396108,PMC3071791,10.1186/1471-2164-12-146,
rid.17118,2015,26652027,,10.1099/ijsem.0.000835,
rid.17157,2011,21962024,PMC3210476,10.1186/1471-2164-12-477,
rid.17145,2016,26704417,,10.1099/ijsem.0.000864,
rid.17146,2016,26704619,,10.1099/ijsem.0.000865,
rid.17150,2016,26705259,,10.1099/ijsem.0.000869,
rid.17147,2016,26704766,,10.1099/ijsem.0.000866,
rid.17143,2015,26704062,,10.1099/ijsem.0.000862,
